stat	value
d_popA_popB	0.000240348884692175
d_popA_popC	0.000240770583456715
d_popA_popD	0.000241390445089898
d_popB_popC	0.000117555548089983
d_popB_popD	0.000117486065453878
d_popC_popD	0.000111637531734742
